evidence_path,observed_faulty_value
members.0.name,Gi1/0/23
members.0.mode,passive
members.0.peer_mode,passive
members.0.speed,1000
members.0.vlan_signature,"10,20,99"
members.0.bundled,False
members.1.name,Gi1/0/24
members.1.mode,active
members.1.peer_mode,passive
members.1.speed,100
members.1.vlan_signature,"10,99"
members.1.bundled,False
switches.0.name,DIST1
switches.0.priority,4096
switches.0.mac,000000000001
switches.1.name,DIST2
switches.1.priority,8192
switches.1.mac,000000000002
observed_root,DIST1
paths.0.name,Po1
paths.0.state,forwarding
paths.1.name,Gi1/0/22
paths.1.state,alternate
failure.failed,Po1
failure.new_forwarding,Gi1/0/22
failure.seconds,2.1
failure.budget,5
