evidence_path,observed_faulty_value
routes.0.prefix,0.0.0.0/0
routes.0.next,10.0.0.2
routes.0.distance,1
routes.0.up,True
routes.1.prefix,192.0.2.0/24
routes.1.next,10.0.0.2
routes.1.distance,1
routes.1.up,True
routes.2.prefix,192.0.2.50/32
routes.2.next,10.0.0.2
routes.2.distance,1
routes.2.up,True
routes.3.prefix,192.0.2.0/24
routes.3.next,10.0.0.6
routes.3.distance,1
routes.3.up,True
target,192.0.2.50
expected_next,10.0.0.6
ipv6.prefix,2001:db8:20::/64
ipv6.next,fe80::2
ipv6.interface,
failure_prefix,192.0.2.0/24
