evidence_path,observed_faulty_value
neighbors.0.router_id,1.1.1.1
neighbors.0.area,0
neighbors.0.hello,10
neighbors.0.dead,40
neighbors.0.mtu,1500
neighbors.0.state,FULL
neighbors.1.router_id,2.2.2.2
neighbors.1.area,0
neighbors.1.hello,5
neighbors.1.dead,20
neighbors.1.mtu,1500
neighbors.1.state,INIT
paths.0.next,10.0.0.2
paths.0.costs.0,10
paths.0.costs.1,10
paths.1.next,10.0.0.6
paths.1.costs.0,10
paths.1.costs.1,20
installed_next,10.0.0.6
hsrp.vip,10.10.10.1
hsrp.active_count,1
hsrp.standby_count,1
hsrp.postfailure_owner,R2
hsrp.host_gateway,10.10.10.1
refresh.ospfv3.area,0
refresh.ospfv3.ipv6_enabled,True
refresh.ospfv3.router_id,3.3.3.3
refresh.ospfv3.state,FULL
refresh.vrrp.group,10
refresh.vrrp.vip,10.10.10.1
refresh.vrrp.masters,1
refresh.vrrp.backup,1
