evidence_path,observed_faulty_value
translations.0.inside,10.10.10.10
translations.0.local_port,49152
translations.0.global,203.0.113.2
translations.0.global_port,30001
translations.0.protocol,tcp
translations.1.inside,10.10.10.11
translations.1.local_port,49152
translations.1.global,203.0.113.2
translations.1.global_port,30001
translations.1.protocol,tcp
lease.ip,10.10.10.10/24
lease.gateway,10.10.20.1
lease.dns,192.0.2.53
lease.giaddr,10.10.10.1
lease.sequence.0,DISCOVER
lease.sequence.1,OFFER
lease.sequence.2,REQUEST
lease.sequence.3,ACK
dns.0.type,A
dns.0.name,app.example.test
dns.0.value,192.0.2.50
dns.1.type,AAAA
dns.1.name,app.example.test
dns.1.value,2001:db8::50
dns.2.type,MX
dns.2.name,example.test
dns.2.value,10 mail.example.test
dns.3.type,NS
dns.3.name,example.test
dns.3.value,ns1.example.test
dns.4.type,PTR
dns.4.name,50.2.0.192.in-addr.arpa
dns.4.value,app.example.test
ntp.synchronized,False
ntp.offset_ms,500
ntp.budget_ms,10
transfer.protocol,SCP
transfer.hash_before,824ba2d40de5b9ff02d36c33bfc93918f633ef427b331cab2cb4de9fe78386bc
transfer.hash_after,824ba2d40de5b9ff02d36c33bfc93918f633ef427b331cab2cb4de9fe78386bc
