evidence_path,observed_faulty_value
rules.0.action,permit
rules.0.protocol,ip
rules.0.source,0.0.0.0/0
rules.0.destination,0.0.0.0/0
rules.0.port,
rules.1.action,permit
rules.1.protocol,tcp
rules.1.source,10.10.99.0/24
rules.1.destination,192.0.2.1/32
rules.1.port,22
flows.0.source,10.10.99.10
flows.0.destination,192.0.2.1
flows.0.protocol,tcp
flows.0.port,22
flows.0.expected,permit
flows.1.source,10.10.10.10
flows.1.destination,192.0.2.1
flows.1.protocol,tcp
flows.1.port,22
flows.1.expected,deny
flows.2.source,10.10.99.10
flows.2.destination,192.0.2.1
flows.2.protocol,tcp
flows.2.port,23
flows.2.expected,deny
vty.transport.0,ssh
vty.transport.1,telnet
vty.timeout_minutes,0
vty.local_secret,True
aaa.client,router
aaa.server,192.0.2.181
aaa.protocol,RADIUS
aaa.auth_port,1812
aaa.fallback,local
aaa.console_tested,True
