evidence_path,observed_faulty_value
ports.0.name,Gi1/0/1
ports.0.role,endpoint
ports.0.dhcp_trust,True
ports.0.dai_trust,True
ports.0.ra_guard,False
ports.0.storm_percent,100
ports.0.port_security_max,2
ports.1.name,Gi1/0/24
ports.1.role,uplink
ports.1.dhcp_trust,True
ports.1.dai_trust,True
ports.1.ra_guard,False
ports.1.storm_percent,10
ports.1.port_security_max,
binding.ip,10.10.10.10
binding.mac,0011.2233.4455
binding.vlan,10
binding.port,Gi1/0/1
arp.ip,10.10.10.10
arp.mac,00ff.ffff.ffff
arp.vlan,10
arp.port,Gi1/0/1
wireless.auth,WPA2-Enterprise
wireless.cipher,AES
wireless.psk_in_files,False
