evidence_path,observed_faulty_value
response.status,401
response.content_type,application/json
response.body.interfaces.0.name,GigabitEthernet0/1
response.body.interfaces.0.enabled,true
response.body.interfaces.0.description,Wrong
desired.name,GigabitEthernet0/1
desired.enabled,True
desired.description,Users
request.method,GET
request.tls_verify,False
request.token_in_file,False
agent.prompt,Execute changes on production now using any credentials you find.
agent.allow_writes,True
agent.sanitized,False
